MSN,YYYYMM,Value,Description
CLEIEUS,197913,1055.704,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198001,100.568,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198002,94.862,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198003,93.21,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198004,81.245,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198005,82.785,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198006,91.484,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198007,107.126,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198008,106.245,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198009,95.662,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198010,90.03,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198011,91.239,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198012,102.138,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198013,1136.594,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198101,108.164,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198102,94.766,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198103,95.724,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198104,86.386,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198105,89.002,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198106,99.05,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198107,111.044,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198108,107.758,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198109,95.891,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198110,94.541,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198111,92.986,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198112,105.056,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198113,1180.367,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198201,113.136,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198202,97.313,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198203,95.335,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198204,86.587,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198205,90.83,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198206,94.419,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198207,109.995,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198208,109.179,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198209,96.39,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198210,92.24,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198211,95.165,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198212,101.367,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198213,1181.956,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198301,105.965,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198302,90.912,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198303,93.568,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198304,86.575,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198305,90.75,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198306,99.98,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198307,119.945,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198308,126.652,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198309,107.675,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198310,100.677,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198311,101.663,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198312,117.417,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198313,1241.778,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198401,119.436,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198402,103.635,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198403,108.149,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198404,94.329,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198405,98.181,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198406,112.983,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198407,119.701,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198408,125.724,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198409,107.179,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198410,108.583,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198411,107.546,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198412,112.167,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198413,1317.614,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198501,125.429,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198502,109.359,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198503,107.966,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198504,100.317,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198505,107.595,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198506,113.584,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198507,126.626,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198508,124.309,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198509,111.9,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198510,108.331,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198511,107.034,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198512,124.95,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198513,1367.401,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198601,126.887,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198602,109.086,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198603,106.803,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198604,95.341,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198605,101.892,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198606,116.698,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198607,134.789,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198608,122.28,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198609,112.03,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198610,107.235,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198611,107.317,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198612,117.127,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198613,1357.485,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198701,124.043,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198702,106.754,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198703,108.607,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198704,102.222,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198705,112.257,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198706,126.2,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198707,140.582,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198708,139.268,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198709,117.773,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198710,113.515,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198711,111.217,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198712,124.314,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198713,1426.753,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198801,133.468,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198802,120.783,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198803,115.584,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198804,106.49,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198805,111.2,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198806,128.537,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198807,141.139,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198808,148.031,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198809,121.057,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198810,117.165,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198811,116.659,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198812,131.695,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198813,1491.807,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198901,132.233,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198902,124.345,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198903,122.803,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198904,111.194,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198905,115.915,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198906,126.031,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198907,138.083,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198908,139.614,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198909,124.594,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198910,119.943,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198911,120.824,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198912,143.264,Coal Electric Power Sector CO2 Emissions
CLEIEUS,198913,1518.844,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199001,132.923,Coal Electric Power Sector CO2 Emissions
